Amount,LinkedTxn[0].TxnId,LinkedTxn[0].TxnType,LineEx.any[0].name,LineEx.any[0].declaredType,LineEx.any[0].scope,LineEx.any[0].value.Name,LineEx.any[0].value.Value,LineEx.any[0].nil,LineEx.any[0].globalScope,LineEx.any[0].typeSubstituted,LineEx.any[1].name,LineEx.any[1].declaredType,LineEx.any[1].scope,LineEx.any[1].value.Name,LineEx.any[1].value.Value,LineEx.any[1].nil,LineEx.any[1].globalScope,LineEx.any[1].typeSubstituted,LineEx.any[2].name,LineEx.any[2].declaredType,LineEx.any[2].scope,LineEx.any[2].value.Name,LineEx.any[2].value.Value,LineEx.any[2].nil,LineEx.any[2].globalScope,LineEx.any[2].typeSubstituted,Parent_Id,TxnDate,DocNumber,Parent_Entity
943,36881,CreditMemo,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,36881,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,943,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,770034,FALSE,TRUE,FALSE,36882,10-02-2025,,Payment
943,37638,CreditMemo,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,37638,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,943,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,756247,FALSE,TRUE,FALSE,36636,27-01-2025,,Payment
540.32,18786,CreditMemo,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,18786,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,540.32,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,557083,FALSE,TRUE,FALSE,44468,23-06-2025,,Payment
86.39,18825,CreditMemo,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,18825,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,86.39,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,617424,FALSE,TRUE,FALSE,47857,01-01-2025,,Payment
193.43,23937,Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,23937,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,193.43,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,670368,FALSE,TRUE,FALSE,47857,01-01-2025,,Payment
82.41,24006,Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,24006,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,82.41,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,682614,FALSE,TRUE,FALSE,47857,01-01-2025,,Payment
5.61,24058,Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,24058,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,5.61,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,694786,FALSE,TRUE,FALSE,47857,01-01-2025,,Payment
67.21,24206,Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,24206,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,67.21,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,726652,FALSE,TRUE,FALSE,47857,01-01-2025,,Payment
944.29,23471,Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,23471,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,944.29,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,568900,FALSE,TRUE,FALSE,47857,01-01-2025,,Payment
0.08,24562,Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,24562,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,0.08,FALSE,TRUE,FALSE,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,731881,FALSE,TRUE,FALSE,47500,01-01-2025,,Payment
