"DueDate","VendorAddr.Id","VendorAddr.Line1","VendorAddr.City","VendorAddr.CountrySubDivisionCode","VendorAddr.PostalCode","Balance","domain","sparse","Id","SyncToken","MetaData.CreateTime","MetaData.LastModifiedByRef.value","MetaData.LastUpdatedTime","DocNumber","TxnDate","CurrencyRef.value","CurrencyRef.name","VendorRef.value","VendorRef.name","APAccountRef.value","APAccountRef.name","TotalAmt","VendorAddr.Line2","SalesTermRef.value","VendorAddr.Line3","DepartmentRef.value","DepartmentRef.name","PrivateNote","status","VendorAddr.Line4","VendorAddr.Line5","RecurDataRef.value","TxnSource"
"2025-01-15","3905","75-159 Lunapule Rd. #1",Kailua-Kona,HI,"96740","0.0",QBO,False,"9267","4","2024-01-15T00:00:00-08:00","9341453574533469","2025-04-17T13:44:02-07:00","1914","2025-01-15",USD,United States Dollar,"391",Christine's {p/u @HFT},"31",Accounts Payable,"176.88",,"6",,"1",Hawaii Forest & Trail,,,,,,
"2025-01-16","3064",KAikane Nursery & Landscaping,,,,"0.0",QBO,False,"31320","3","2024-12-10T12:25:56-08:00","9341454038075560","2025-02-14T12:58:53-08:00","96567","2025-01-01",USD,United States Dollar,"1163",KAikane Nursery & Landscaping,"31",Accounts Payable,"261.78",PO Box 551708,"7","Kapa'au, HI  96755","2",Kohala Zipline,"Rcvd in November, not moved back to Old QB",,,,,
"2025-01-31","468",PO Box 6362,Kamuela,HI,"96743","0.0",QBO,False,"31339","2","2024-12-10T13:02:51-08:00","9341453574533469","2025-04-17T14:55:16-07:00","70010","2025-01-01",USD,United States Dollar,"965",KHawaii John's,"31",Accounts Payable,"167.02",,"8",,"2",Kohala Zipline,,,,,,
"2025-01-01","2718",Kohala Zipline,,,,"0.0",QBO,False,"32296","5","2025-01-01T02:38:46-08:00","9341453574533469","2025-05-08T16:31:49-07:00","749504","2025-01-01",USD,United States Dollar,"862",RKohala Zipline,"31",Accounts Payable,"2000.0",,"6",,"3",Retail,,,,,"13",
"2025-01-31","321",Niaulani Campus,Volcano,HI,"96785","0.0",QBO,False,"32293","7","2025-01-01T02:38:46-08:00","9341453575116638","2025-02-07T14:11:49-08:00",,"2025-01-31",USD,United States Dollar,"736",Volcano Art Center,"31",Accounts Payable,"250.0","19-4074 Old Rd.",,PO Box 129,"1",Hawaii Forest & Trail,,,"Volcano,",,"10",
"2025-01-01","591",Surety Kohala Corp,Hawi,HI,"96719","0.0",QBO,False,"32299","3","2025-01-01T02:38:47-08:00","9341453575116638","2025-02-07T14:58:18-08:00",,"2025-01-01",USD,United States Dollar,"1091",KSurety Kohala Corp,"31",Accounts Payable,"750.0",PO Box 249,"6",,"2",Kohala Zipline,,,,,"17",
"2025-02-01","3157",PO Box 249,Hawi,HI,"96719","0.0",QBO,False,"34967","7","2025-02-01T02:30:17-08:00","9341454038075560","2025-02-14T12:58:53-08:00","27320","2025-02-01",USD,United States Dollar,"1091",KSurety Kohala Corp,"31",Accounts Payable,"5550.0",,"6",,"2",Kohala Zipline,,,,,"18",
"2025-02-01","3157",PO Box 249,Hawi,HI,"96719","0.0",QBO,False,"34973","6","2025-02-01T02:30:18-08:00","9341454038075560","2025-02-14T12:58:53-08:00","27333","2025-02-01",USD,United States Dollar,"1091",KSurety Kohala Corp,"31",Accounts Payable,"750.0",,"6",,"2",Kohala Zipline,,,,,"17",
"2025-02-01","298","ROBCIN, LLC",Holualoa,HI,"96725-0368","0.0",QBO,False,"34969","3","2025-02-01T02:30:18-08:00","9341453575116638","2025-02-07T17:48:31-08:00",,"2025-02-01",USD,United States Dollar,"665","ROBCIN, LLC{hand deliver to Jennifer}","31",Accounts Payable,"8066.0",PO Box 368,,,"1",Hawaii Forest & Trail,,,,,"7",
"2025-02-01","2721",KDaniel Trunk,,,,"0.0",QBO,False,"34977","3","2025-02-01T02:30:19-08:00","9341453575116638","2025-02-07T17:42:04-08:00",,"2025-02-01",USD,United States Dollar,"932",KDaniel Trunk,"31",Accounts Payable,"30.0",Daniel Trunk,"6",,"2",Kohala Zipline,Cell Phone Reimbursement,,,,"15",
"2025-02-01","466","74-5035B Queen Kaahumanu Hwy",Kailua Kona,HI,"96740","0.0",QBO,False,"34976","4","2025-02-01T02:30:19-08:00","9341453574533469","2025-04-22T18:53:52-07:00",,"2025-02-01",USD,United States Dollar,"963",KHawaii Forest & Trail,"31",Accounts Payable,"3500.0",,"6",,"2",Kohala Zipline,Lease Payment for Zip & Dip Vehicle,,,,"14",
