"Amount","LinkedTxn[0].TxnId","LinkedTxn[0].TxnType","Parent_Id","TxnDate","DocNumber","Parent_Entity"
"511.59","35343",Bill,"32266","2025-01-02","21707",BillPayment
"2475.0","35001",Bill,"35022","2025-02-03","21801",BillPayment
"131.32","35285",Bill,"35451","2025-01-07","21740",BillPayment
"691.5","35348",Bill,"35499","2025-01-07","21738",BillPayment
"5500.0","35284",Bill,"35498","2025-01-07","21736",BillPayment
"125.0","35257",Bill,"35497","2025-01-06","21737",BillPayment
"103.66","35314",Bill,"35503","2025-01-09","21743",BillPayment
"1060.0","35265",Bill,"35502","2025-01-08",online,BillPayment
"3708.0","35288",Bill,"35501","2025-01-07","21742",BillPayment
"1551.83","35349",Bill,"35500","2025-01-07","21739",BillPayment
"338.02","35344",Bill,"35506","2025-01-09","21746",BillPayment
"590.94","35330",Bill,"35506","2025-01-09","21746",BillPayment
"731.64","35316",Bill,"35506","2025-01-09","21746",BillPayment
"1125.6","35286",Bill,"35506","2025-01-09","21746",BillPayment
"379.89","35351",Bill,"35506","2025-01-09","21746",BillPayment
"253.26","35352",Bill,"35506","2025-01-09","21746",BillPayment
"598.98","35354",Bill,"35506","2025-01-09","21746",BillPayment
"112.56","35341",Bill,"35506","2025-01-09","21746",BillPayment
"87.53","35318",Bill,"35505","2025-01-09","21745",BillPayment
"2250.0","35313",Bill,"35504","2025-01-09","21744",BillPayment
"16.08","35290",Bill,"35507","2025-01-09","21747",BillPayment
"30.0","35308",Bill,"35507","2025-01-09","21747",BillPayment
"678.01","35312",Bill,"35511","2025-01-09","21751",BillPayment
"8066.0","35309",Bill,"35510","2025-01-09","21750",BillPayment
"469.64","31250",Bill,"35509","2025-01-09","21749",BillPayment
"4282.65","35289",Bill,"35508","2025-01-09","21748",BillPayment
"1922.8","35358",Bill,"35514","2025-01-13","21754",BillPayment
"3216.66","35299",Bill,"35513","2025-01-11",online,BillPayment
"63.0","35346",Bill,"35512","2025-01-09","21752",BillPayment
"63.0","35277",Bill,"35512","2025-01-09","21752",BillPayment
"137.5","35263",Bill,"35512","2025-01-09","21752",BillPayment
"789.53","35310",Bill,"35517","2025-01-17",online,BillPayment
"1833.98","35371",Bill,"35516","2025-01-16","21756",BillPayment
"169.34","35233",Bill,"35515","2025-01-15",online,BillPayment
"703.5","35360",Bill,"35519","2025-01-17","21758",BillPayment
"66.28","37346",Bill,"35519","2025-01-17","21758",BillPayment
"1111.53","35366",Bill,"35519","2025-01-17","21758",BillPayment
"70.35","35351",Bill,"35519","2025-01-17","21758",BillPayment
"1322.58","35370",Bill,"35519","2025-01-17","21758",BillPayment
"912.54","35374",Bill,"35519","2025-01-17","21758",BillPayment
"204.19","35320",Bill,"35518","2025-01-17","21757",BillPayment
"119.09","35380",Bill,"35523","2025-01-17","21762",BillPayment
"113.9","35381",Bill,"35523","2025-01-17","21762",BillPayment
"155.98","35382",Bill,"35523","2025-01-17","21762",BillPayment
"418.45","35353",Bill,"35523","2025-01-17","21762",BillPayment
"1722.0","35283",Bill,"35522","2025-01-17","21761",BillPayment
"9.75","35357",Bill,"35521","2025-01-17","21760",BillPayment
"88.28","35297",Bill,"35520","2025-01-17","21759",BillPayment
"513.55","35377",Bill,"35526","2025-01-17","21765",BillPayment
"140.3","35372",Bill,"35526","2025-01-17","21765",BillPayment
"2862.0","35298",Bill,"35525","2025-01-17","21764",BillPayment
"1650.57","35235",Bill,"35524","2025-01-17","21763",BillPayment
"1754.94","35347",Bill,"35524","2025-01-17","21763",BillPayment
"5291.32","35367",Bill,"35530","2025-01-17","21769",BillPayment
"113.82","35362",Bill,"35529","2025-01-17","21768",BillPayment
"263.5","35365",Bill,"35528","2025-01-17","21767",BillPayment
"223.09","35383",Bill,"35527","2025-01-17","21766",BillPayment
"5350.0","35373",Bill,"35531","2025-01-17","21770",BillPayment
"535.97","35428",Bill,"35535","2025-01-24","21780",BillPayment
"314.14","35387",Bill,"35534","2025-01-24","21779",BillPayment
"87.53","35424",Bill,"35533","2025-01-24","21777",BillPayment
"639.86","35363",Bill,"35532","2025-01-24","21776",BillPayment
"1757.7","35399",Bill,"35539","2025-01-24","21785",BillPayment
"863.87","35397",Bill,"35538","2025-01-24","21783",BillPayment
"12.39","35388",Bill,"35537","2025-01-24","21782",BillPayment
"151.25","35409",Bill,"35536","2025-01-24","21781",BillPayment
"720.42","35406",Bill,"35536","2025-01-24","21781",BillPayment
"310.79","35407",Bill,"35536","2025-01-24","21781",BillPayment
"6831.89","35423",Bill,"35541","2025-01-24","21787",BillPayment
"113.06","35319",Bill,"35540","2025-01-24","21786",BillPayment
"5188.48","35325",Bill,"35544","2025-01-24","21790",BillPayment
"1095.36","35292",Bill,"35543","2025-01-24","21789",BillPayment
"943.0","35293",Bill,"35543","2025-01-24","21789",BillPayment
"119.36","35294",Bill,"35543","2025-01-24","21789",BillPayment
"307.96","35395",Bill,"35542","2025-01-24","21788",BillPayment
"133.0","35386",Bill,"35548","2025-01-24","21794",BillPayment
"435.62","35327",Bill,"35547","2025-01-24","21793",BillPayment
"7918.27","35333",Bill,"35546","2025-01-24","21792",BillPayment
"516.17","35408",Bill,"35545","2025-01-24","21791",BillPayment
"506.52","35364",Bill,"35551","2025-01-24","21798",BillPayment
"619.08","35398",Bill,"35551","2025-01-24","21798",BillPayment
"1069.32","35368",Bill,"35551","2025-01-24","21798",BillPayment
"112.56","35384",Bill,"35551","2025-01-24","21798",BillPayment
"876.06","35400",Bill,"35551","2025-01-24","21798",BillPayment
"731.64","35404",Bill,"35551","2025-01-24","21798",BillPayment
"520.59","35389",Bill,"35551","2025-01-24","21798",BillPayment
"717.57","35375",Bill,"35551","2025-01-24","21798",BillPayment
"172.97","35336",Bill,"35550","2025-01-24","21797",BillPayment
"92.15","35378",Bill,"35549","2025-01-24","21796",BillPayment
"60.42","35379",Bill,"35549","2025-01-24","21796",BillPayment
"14.28","35328",Bill,"35553","2025-01-24","21800",BillPayment
"5644.49","35287",Bill,"35552","2025-01-24","21799",BillPayment
"266.5","36503",Bill,"35554","2025-01-06","19AB2C",BillPayment
"364.53","35304",Bill,"35554","2025-01-06","19AB2C",BillPayment
"327.48","35305",Bill,"35554","2025-01-06","19AB2C",BillPayment
"327.48","35306",Bill,"35554","2025-01-06","19AB2C",BillPayment
"327.48","35307",Bill,"35554","2025-01-06","19AB2C",BillPayment
"633.07","36184",Bill,"36192","2025-01-24","11391",BillPayment
"2202.72","36604",Bill,"36192","2025-01-24","11391",BillPayment
"3914.4","36605",Bill,"36192","2025-01-24","11391",BillPayment
"102.04","36128",Bill,"36206","2025-01-09","11383",BillPayment
"750.0","32299",Bill,"36206","2025-01-09","11383",BillPayment
"5550.0","36157",Bill,"36206","2025-01-09","11383",BillPayment
"36.66","36127",Bill,"36206","2025-01-09","11383",BillPayment
"678.01","36159",Bill,"36205","2025-01-09","11382",BillPayment
"119.53","36161",Bill,"36204","2025-01-09","11378",BillPayment
"820.08","36144",Bill,"36209","2025-01-17","11386",BillPayment
"121.89","36145",Bill,"36209","2025-01-17","11386",BillPayment
"11767.72","36146",Bill,"36209","2025-01-17","11386",BillPayment
"1583.65","36147",Bill,"36209","2025-01-17","11386",BillPayment
"50.22","36151",Bill,"36209","2025-01-17","11386",BillPayment
"1850.0","36160",Bill,"36208","2025-01-17",online,BillPayment
"545.45","31232",Bill,"36207","2025-01-13","11384",BillPayment
"8.18","36162",Bill,"36207","2025-01-13","11384",BillPayment
"183.25","36163",Bill,"36212","2025-01-17","11389",BillPayment
"92.15","36172",Bill,"36211","2025-01-17","11388",BillPayment
"125.65","36173",Bill,"36211","2025-01-17","11388",BillPayment
"242.9","36122",Bill,"36210","2025-01-17","11387",BillPayment
"26.88","36152",Bill,"36216","2025-01-24","11396",BillPayment
"406.53","36186",Bill,"36216","2025-01-24","11396",BillPayment
"35.66","42318",Bill,"36216","2025-01-24","11396",BillPayment
"500.0","36175",Bill,"36215","2025-01-24","11394",BillPayment
"119.53","36185",Bill,"36214","2025-01-24","11393",BillPayment
"740.71","36142",Bill,"36213","2025-01-24","11392",BillPayment
"80.51","36149",Bill,"36218","2025-01-24","11399",BillPayment
"278.75","36165",Bill,"36217","2025-01-24","11397",BillPayment
"185.32","32327",Bill,"36468","2025-01-24",FH12425AA,BillPayment
"158.48","35416",Bill,"36469","2025-02-24",Online22425A,BillPayment
"463.38","32328",Bill,"36471","2025-01-24",FH12425B,BillPayment
"2079.11","35332",Bill,"36472","2025-01-27",Online,BillPayment
"6.0","35288",Bill,"36475","2025-02-05",FH12426B,BillPayment
"6.0","36474",VendorCredit,"36475","2025-02-05",FH12426B,BillPayment
"180.9","36489",Bill,"36499","2025-01-17","2026",BillPayment
"350.25","36488",Bill,"36498","2025-01-17","2025",BillPayment
"740.4","36485",Bill,"36502","2025-01-17","2029",BillPayment
"1178.58","36490",Bill,"36501","2025-01-17","2028",BillPayment
"98.0","36487",Bill,"36500","2025-01-17","2027",BillPayment
"531.0","32329",Bill,"36557","2025-01-08",FH,BillPayment
"531.0","36556",Deposit,"36557","2025-01-08",FH,BillPayment
"185.32","32332",Bill,"36560","2025-01-24",FH12425H,BillPayment
"723.7","36561",Bill,"36563","2025-01-24","21784",BillPayment
"1118.4","36562",Bill,"36563","2025-01-24","21784",BillPayment
"3304.04","35421",Bill,"36563","2025-01-24","21784",BillPayment
"4725.18","35422",Bill,"36563","2025-01-24","21784",BillPayment
"352.0","35296",Bill,"36568","2025-01-21",online,BillPayment
"18403.71","35295",Bill,"36569","2025-01-21",online,BillPayment
"300.0","35410",Bill,"36570","2025-01-30",online,BillPayment
"405.0","35385",Bill,"36571","2025-01-23",online,BillPayment
