"Id","LineNum","Amount","DetailType","DepositLineDetail.Entity.value","DepositLineDetail.Entity.name","DepositLineDetail.Entity.type","DepositLineDetail.ClassRef.value","DepositLineDetail.ClassRef.name","DepositLineDetail.AccountRef.value","DepositLineDetail.AccountRef.name","Parent_Id","TxnDate","DocNumber","DepositLineDetail.CheckNum","Description","DepositLineDetail.PaymentMethodRef.value","DepositLineDetail.PaymentMethodRef.name","LinkedTxn[0].TxnId","LinkedTxn[0].TxnType","LinkedTxn[0].TxnLineId","ProjectRef.value","Parent_Entity"
,,"65.0",,,,,,,,,"32352","2025-01-03",,,Paid via QuickBooks Payments: Payment ID 263067,"17",,"32349",Payment,"0",,Deposit
,,"4084.29",,,,,,,,,"32355","2025-01-05",,,Paid via QuickBooks Payments: Payment ID 778-937,"18",,"32354",Payment,"0",,Deposit
,,"1356.28",,,,,,,,,"32359","2025-01-07",,,Paid via QuickBooks Payments: Payment ID 173-947,"18",,"32358",Payment,"0",,Deposit
,,"663.86",,,,,,,,,"32372","2025-01-19",,,Paid via QuickBooks Payments: Payment ID 026823,"17",,"32371",Payment,"0",,Deposit
,,"4961.18",,,,,,,,,"32377","2025-01-21",,,Paid via QuickBooks Payments: Payment ID 810-517,"18",,"32376",Payment,"0",,Deposit
,,"942.99",,,,,,,,,"32377","2025-01-21",,,Paid via QuickBooks Payments: Payment ID 809-567,"18",,"32375",Payment,"0",,Deposit
,,"220.55",,,,,,,,,"32380","2025-01-26",,,Paid via QuickBooks Payments: Payment ID 067-857,"18",,"32379",Payment,"0",,Deposit
"1","1.0","4889.99",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","34980","2025-02-01",,,,,,,,,,Deposit
"2","2.0",-94.73,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","34980","2025-02-01",,,,,,,,,,Deposit
"1","1.0","1809.36",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","34981","2025-02-02",,,,,,,,,,Deposit
"2","2.0",-44.63,DepositLineDetail,,,,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","34981","2025-02-02",,,,,,,,,,Deposit
"1","1.0","2827.6",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","34982","2025-02-01",,,,,,,,,,Deposit
"2","2.0",-57.22,DepositLineDetail,,,,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","34982","2025-02-01",,,,,,,,,,Deposit
"1","1.0","7874.07",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","34983","2025-02-02",,,,,,,,,,Deposit
"2","2.0",-152.98,DepositLineDetail,,,,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","34983","2025-02-02",,,,,,,,,,Deposit
"1","1.0","38.22",DepositLineDetail,,,,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","34986","2025-02-03",,,,,,,,,,Deposit
"1","1.0","4240.01",DepositLineDetail,,,,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35853","2025-01-01",,,,,,,,,,Deposit
"2","2.0",-82.68,DepositLineDetail,,,,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35853","2025-01-01",,,,,,,,,,Deposit
"1","1.0","7576.4",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35852","2025-01-01",,,,,,,,,,Deposit
"2","2.0",-146.06,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35852","2025-01-01",,,,,,,,,,Deposit
"1","1.0","4127.39",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35860","2025-01-03",,,,,,,,,,Deposit
"2","2.0",-80.81,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35860","2025-01-03",,,,,,,,,,Deposit
"1","1.0","8032.18",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35859","2025-01-02",,,,,,,,,,Deposit
"2","2.0",-155.86,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35859","2025-01-02",,,,,,,,,,Deposit
"1","1.0","4918.95",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35866","2025-01-10",,,,,,,,,,Deposit
"2","2.0",-95.56,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35866","2025-01-10",,,,,,,,,,Deposit
"3","3.0","1752.88",DepositLineDetail,"123",TravelShack LLC.,CUSTOMER,"842100",HFTCO,"14","2300-00 Accounts Receivable","35866","2025-01-10",,,,,,,,,,Deposit
"4","4.0",-33.6,DepositLineDetail,"123",TravelShack LLC.,CUSTOMER,"842100",HFTCO,"155","6070-00 Tours:Credit Card Fees","35866","2025-01-10",,,,,,,,,,Deposit
"1","1.0","7820.95",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35865","2025-01-09",,,,,,,,,,Deposit
"2","2.0",-150.62,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35865","2025-01-09",,,,,,,,,,Deposit
"1","1.0","3889.01",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35864","2025-01-07",,,,,,,,,,Deposit
"2","2.0",-76.01,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35864","2025-01-07",,,,,,,,,,Deposit
"1","1.0","6539.68",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35863","2025-01-06",,,,,,,,,,Deposit
"2","2.0",-126.63,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35863","2025-01-06",,,,,,,,,,Deposit
"1","1.0","5201.77",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35862","2025-01-05",,,,,,,,,,Deposit
"2","2.0",-100.63,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35862","2025-01-05",,,,,,,,,,Deposit
"1","1.0","5263.89",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35861","2025-01-04",,,,,,,,,,Deposit
"2","2.0",-102.42,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35861","2025-01-04",,,,,,,,,,Deposit
