"AcceptedBy","AcceptedDate","domain","sparse","Id","SyncToken","MetaData.CreateTime","MetaData.LastUpdatedTime","CustomField[0].DefinitionId","CustomField[0].Name","CustomField[0].Type","CustomField[0].StringValue","CustomField[1].DefinitionId","CustomField[1].Name","CustomField[1].Type","CustomField[1].StringValue","DocNumber","TxnDate","DepartmentRef.value","DepartmentRef.name","CurrencyRef.value","CurrencyRef.name","TxnStatus","TxnTaxDetail.TxnTaxCodeRef.value","TxnTaxDetail.TotalTax","TxnTaxDetail.TaxLine[0].Amount","TxnTaxDetail.TaxLine[0].DetailType","TxnTaxDetail.TaxLine[0].TaxLineDetail.TaxRateRef.value","TxnTaxDetail.TaxLine[0].TaxLineDetail.PercentBased","TxnTaxDetail.TaxLine[0].TaxLineDetail.TaxPercent","TxnTaxDetail.TaxLine[0].TaxLineDetail.NetAmountTaxable","TxnTaxDetail.TaxLine[1].Amount","TxnTaxDetail.TaxLine[1].DetailType","TxnTaxDetail.TaxLine[1].TaxLineDetail.TaxRateRef.value","TxnTaxDetail.TaxLine[1].TaxLineDetail.PercentBased","TxnTaxDetail.TaxLine[1].TaxLineDetail.TaxPercent","TxnTaxDetail.TaxLine[1].TaxLineDetail.NetAmountTaxable","ProjectRef.value","TotalCostAmount","HomeTotalCostAmount","CustomerRef.value","CustomerRef.name","BillAddr.Id","BillAddr.Line1","BillAddr.Line2","ShipAddr.Id","ShipAddr.Line1","ShipAddr.Line2","ShipAddr.Line3","ShipAddr.Line4","FreeFormAddress","TotalAmt","ApplyTaxAfterDiscount","PrintStatus","EmailStatus","BillEmail.Address","BillAddr.Line3","BillEmailCc.Address","PrivateNote","TaxExemptionRef.value","BillAddr.Line4","ExpirationDate","BillAddr.Line5","ShipAddr.Line5"
Michelle Lum,"2025-03-02",QBO,False,"40830","5","2025-04-25T13:00:12-07:00","2025-06-02T19:27:10-07:00","1",P.O. Number,StringType,"60383","2",Sales Rep,StringType,Michelle Lum,"1001","2025-04-25","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"9","0","0",TaxLineDetail,"12",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0","565346052","7880.49","7880.49","1303",Sentinel One HFT,"9675",MC&A - Groups,MC&A,"9676",MC&A - Groups,MC&A,"2155 Kalakaua Ave. Ste 810","Honolulu, HI  96815",True,"5253.66",False,NeedToPrint,NotSet,accountingmca@mcahawaii.com,,,,,,,,
Michelle Lum,"2025-03-02",QBO,False,"40832","3","2025-04-25T13:09:36-07:00","2025-06-02T19:37:17-07:00","1",P.O. Number,StringType,"60386","2",Sales Rep,StringType,Michelle Lum,"1002","2025-03-02","2",Kohala Zipline,USD,United States Dollar,Converted,"9","0","0",TaxLineDetail,"12",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0","565351536","3771.99","3771.99","1304",Sentinel One KOZI,"10955",MC&A - Groups,MC&A,"10956",MC&A - Groups,MC&A,"2155 Kalakaua Ave. Ste 810","Honolulu, HI  96815",True,"3771.99",False,NeedToPrint,NotSet,accountingmca@mcahawaii.com,,,,,,,,
MJ Miljavac,"2024-09-12",QBO,False,"40879","3","2025-04-25T17:35:04-07:00","2025-05-20T15:28:29-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,MJ Miljavac,"1003","2025-04-25","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"8","0","0",TaxLineDetail,"11",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0","565396513","4825.12","4825.12","1306","25-LNH611","10644",Chrysalis Events,,,,,,,False,"4825.12",False,NeedToPrint,NotSet,billing@chrysaliseventshawaii.com,,,,,,,,
MJ Miljavac,"2024-09-12",QBO,False,"40882","3","2025-04-25T17:52:53-07:00","2025-05-20T15:35:25-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,MJ Miljavac,"1004","2025-05-15","2",Kohala Zipline,USD,United States Dollar,Converted,"12","0","0",TaxLineDetail,"14",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0","565398482","3630.63","3630.63","1307","25-LNH611KOZI","10646",Chrysalis Events Hawaii,"300 Ohukai Road, #320","10647",Chrysalis Events Hawaii,"300 Ohukai Road, #320","Kihei, HI  96753",,True,"3630.63",False,NeedToPrint,NotSet,billing@chrysaliseventshawaii.com,"Kihei, HI  96753",,,,,,,
Michelle Lum,"2025-04-03",QBO,False,"41142","6","2025-04-30T14:46:01-07:00","2025-06-19T14:23:55-07:00","1",P.O. Number,StringType,"59432","2",Sales Rep,StringType,Michelle Lum,"59432","2025-04-16","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"9","0","0",TaxLineDetail,"12",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0","568526539","12062.8","12062.8","1309",Delinea,"12009",MC&A,"2155 Kalakaua Ave Ste 810","12010",MC&A,"2155 Kalakaua Ave Ste 810","Honolulu, HI  96815",,True,"12062.8",False,NeedToPrint,NotSet,accountingmca@mcahawaii.com,"Honolulu, HI  96815",,,,,,,
,,QBO,False,"42301","5","2025-05-21T13:33:23-07:00","2025-06-19T15:19:15-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59433","2025-06-18","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"8","0","0",TaxLineDetail,"10",True,"4.166","0","0.0",TaxLineDetail,"11",True,"0.546","0.0","582154042","10654.96","10654.96","1321",Companion Life,"10674",Direct,,,,,,,False,"10654.96",False,NeedToPrint,NotSet,lora@exclusiveeme.com,,groups@hawaii-forest.com,,,,,,
,,QBO,False,"44036","3","2025-06-16T16:58:22-07:00","2025-08-01T13:06:13-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59434","2025-07-16","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"9","0","0",TaxLineDetail,"12",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0",,,,"94",MC&A,"13146",MC&A,"2155 Kalakaua Ave Ste 810","13147",MC&A,"2155 Kalakaua Ave Ste 810","Honolulu, HI  96815",,True,"5296.34",False,NeedToPrint,NotSet,accountingmca@mcahawaii.com,"Honolulu, HI  96815",,Align Tech,"99",,,,
,,QBO,False,"44150","4","2025-06-17T15:44:29-07:00","2025-08-01T12:59:40-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59435","2025-07-16","2",Kohala Zipline,USD,United States Dollar,Converted,"9","0","0",TaxLineDetail,"12",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0",,,,"16",KMC&A,"13142",MC&A,MC&A,"13143",MC&A,MC&A,"2155 Kalakaua Ave. Ste 810","Honolulu, HI  96815",True,"3771.99",False,NeedToPrint,NotSet,accountingmca@mcahawaii.com,"2155 Kalakaua Ave. Ste 810",,Align Tech,"99","Honolulu, HI  96815",,,
Noelani Kanae,,QBO,False,"44508","13","2025-06-24T15:43:47-07:00","2025-10-02T14:28:27-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59436","2025-09-15","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"9","0","0",TaxLineDetail,"12",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0",,,,"1185",MC&A - Groups,"14580",MC&A - Groups,MC&A,"14581",MC&A - Groups,MC&A,"2155 Kalakaua Ave. Ste 810","Honolulu, HI  96815",True,"22271.87",False,NeedToPrint,NotSet,accountingmca@mcahawaii.com,,,Medtronic,,,,,
June Matsumoto,"2025-02-18",QBO,False,"45308","4","2025-07-10T19:41:54-07:00","2025-09-01T19:51:20-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59437","2025-02-18","1",Hawaii Forest & Trail,USD,United States Dollar,Accepted,"9","0","0",TaxLineDetail,"12",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0","614936059","2648.17","2648.17","1330",Welter Family,"13493",Pacific Island Institute,Pacific Island Institute.,"13494",Pacific Island Institute,Pacific Island Institute.,"1144 10th Avenue Ste 301","Honolulu, HI 96816",True,"2648.17",False,NeedToPrint,NotSet,june@pac-island.com,"1144 10th Avenue Ste 301",,,,"Honolulu, HI 96816","2025-03-20",,
