"Adjustment","TotalAmt","domain","sparse","Id","SyncToken","MetaData.CreateTime","MetaData.LastUpdatedTime","DocNumber","TxnDate","CurrencyRef.value","CurrencyRef.name","PrivateNote"
False,"0",QBO,False,"36448","0","2025-02-05T13:06:13-08:00","2025-02-05T13:06:13-08:00","9E977","2025-01-09",USD,United States Dollar,
False,"0",QBO,False,"36447","0","2025-02-05T13:06:13-08:00","2025-02-05T13:06:13-08:00","9E92E","2025-01-08",USD,United States Dollar,
False,"0",QBO,False,"36446","0","2025-02-05T13:06:13-08:00","2025-02-05T13:06:13-08:00","9E92B","2025-01-07",USD,United States Dollar,
False,"0",QBO,False,"36445","0","2025-02-05T13:06:13-08:00","2025-02-05T13:06:13-08:00","9E861","2025-01-06",USD,United States Dollar,
False,"0",QBO,False,"36444","0","2025-02-05T13:06:13-08:00","2025-02-05T13:06:13-08:00","9E85E","2025-01-04",USD,United States Dollar,
False,"0",QBO,False,"36443","0","2025-02-05T13:06:13-08:00","2025-02-05T13:06:13-08:00","9E859","2025-01-03",USD,United States Dollar,
False,"0",QBO,False,"36442","0","2025-02-05T13:06:13-08:00","2025-02-05T13:06:13-08:00","9E854","2025-01-02",USD,United States Dollar,
False,"0",QBO,False,"36456","0","2025-02-05T13:06:14-08:00","2025-02-05T13:06:14-08:00","9EB69","2025-01-18",USD,United States Dollar,
False,"0",QBO,False,"36455","0","2025-02-05T13:06:14-08:00","2025-02-05T13:06:14-08:00","9EB64","2025-01-17",USD,United States Dollar,
False,"0",QBO,False,"36454","0","2025-02-05T13:06:14-08:00","2025-02-05T13:06:14-08:00","9EB5F","2025-01-16",USD,United States Dollar,
False,"0",QBO,False,"36453","0","2025-02-05T13:06:14-08:00","2025-02-05T13:06:14-08:00","9EB5C","2025-01-15",USD,United States Dollar,
False,"0",QBO,False,"36452","0","2025-02-05T13:06:14-08:00","2025-02-05T13:06:14-08:00","9EB57","2025-01-14",USD,United States Dollar,
False,"0",QBO,False,"36451","0","2025-02-05T13:06:14-08:00","2025-02-05T13:06:14-08:00","9EB52","2025-01-13",USD,United States Dollar,
False,"0",QBO,False,"36450","0","2025-02-05T13:06:14-08:00","2025-02-05T13:06:14-08:00","9E9F4","2025-01-11",USD,United States Dollar,
False,"0",QBO,False,"36449","0","2025-02-05T13:06:14-08:00","2025-02-05T13:06:14-08:00","9E9EF","2025-01-10",USD,United States Dollar,
False,"0",QBO,False,"36460","0","2025-02-05T13:06:15-08:00","2025-02-05T13:06:15-08:00","9ECC7","2025-01-23",USD,United States Dollar,
False,"0",QBO,False,"36459","0","2025-02-05T13:06:15-08:00","2025-02-05T13:06:15-08:00","9EC69","2025-01-22",USD,United States Dollar,
False,"0",QBO,False,"36458","0","2025-02-05T13:06:15-08:00","2025-02-05T13:06:15-08:00","9EC0F","2025-01-21",USD,United States Dollar,
False,"0",QBO,False,"36457","0","2025-02-05T13:06:15-08:00","2025-02-05T13:06:15-08:00","9EC0A","2025-01-20",USD,United States Dollar,
False,"0",QBO,False,"36462","0","2025-02-05T13:06:16-08:00","2025-02-05T13:06:16-08:00","9ED8F","2025-01-25",USD,United States Dollar,
False,"0",QBO,False,"36461","0","2025-02-05T13:06:16-08:00","2025-02-05T13:06:16-08:00","9ED8C","2025-01-24",USD,United States Dollar,
False,"0",QBO,False,"36465","0","2025-02-05T13:06:17-08:00","2025-02-05T13:06:17-08:00","9EE8D","2025-01-29",USD,United States Dollar,
False,"0",QBO,False,"36464","0","2025-02-05T13:06:17-08:00","2025-02-05T13:06:17-08:00","9EE08","2025-01-28",USD,United States Dollar,
False,"0",QBO,False,"36463","0","2025-02-05T13:06:17-08:00","2025-02-05T13:06:17-08:00","9EDE7","2025-01-27",USD,United States Dollar,
False,"0",QBO,False,"36693","1","2025-02-07T14:42:58-08:00","2025-02-07T14:43:24-08:00","01272025","2025-01-27",USD,United States Dollar,
False,"0",QBO,False,"36694","0","2025-02-07T14:44:06-08:00","2025-02-07T14:44:06-08:00","01302025","2025-01-30",USD,United States Dollar,
False,"0",QBO,False,"36695","0","2025-02-07T14:53:07-08:00","2025-02-07T14:53:07-08:00","01292025","2025-01-29",USD,United States Dollar,
False,"0",QBO,False,"36696","0","2025-02-07T14:53:26-08:00","2025-02-07T14:53:26-08:00","01282025","2025-01-28",USD,United States Dollar,
False,"0",QBO,False,"36717","1","2025-02-07T17:05:07-08:00","2025-02-07T17:05:22-08:00","01282025","2025-01-28",USD,United States Dollar,
False,"0",QBO,False,"36718","0","2025-02-07T17:07:22-08:00","2025-02-07T17:07:22-08:00","01292025","2025-01-29",USD,United States Dollar,
False,"0",QBO,False,"36719","1","2025-02-07T17:08:05-08:00","2025-02-07T18:13:11-08:00","01312025","2025-01-31",USD,United States Dollar,
False,"0",QBO,False,"36734","1","2025-02-07T18:14:05-08:00","2025-02-07T18:15:25-08:00","01272025","2025-01-27",USD,United States Dollar,
False,"0",QBO,False,"36929","1","2025-02-11T11:38:59-08:00","2025-02-11T11:39:25-08:00","01282025","2025-01-28",USD,United States Dollar,
False,"0",QBO,False,"36930","0","2025-02-11T11:40:45-08:00","2025-02-11T11:40:45-08:00","01292025","2025-01-29",USD,United States Dollar,
False,"0",QBO,False,"36931","0","2025-02-11T11:45:21-08:00","2025-02-11T11:45:21-08:00","01302025","2025-01-30",USD,United States Dollar,
False,"0",QBO,False,"36932","0","2025-02-11T11:45:53-08:00","2025-02-11T11:45:53-08:00","01302026","2025-01-31",USD,United States Dollar,
False,"0",QBO,False,"36933","0","2025-02-11T11:50:19-08:00","2025-02-11T11:50:19-08:00","01272025","2025-01-27",USD,United States Dollar,
False,"0",QBO,False,"36981","4","2025-02-12T14:13:31-08:00","2025-02-17T15:01:38-08:00","01272027","2025-01-31",USD,United States Dollar,
False,"0",QBO,False,"36982","3","2025-02-12T14:32:17-08:00","2025-02-18T19:02:03-08:00","01272028","2025-01-31",USD,United States Dollar,
False,"0",QBO,False,"37177","1","2025-02-14T16:45:54-08:00","2025-09-30T14:08:42-07:00","01272030","2025-01-31",USD,United States Dollar,
False,"0",QBO,False,"37284","0","2025-02-17T18:53:53-08:00","2025-02-17T18:53:53-08:00","01272032","2025-02-03",USD,United States Dollar,
False,"0",QBO,False,"37285","0","2025-02-17T18:54:40-08:00","2025-02-17T18:54:40-08:00","01272033","2025-02-04",USD,United States Dollar,
False,"0",QBO,False,"37286","0","2025-02-17T18:55:28-08:00","2025-02-17T18:55:28-08:00","01272034","2025-02-05",USD,United States Dollar,
False,"0",QBO,False,"37287","0","2025-02-17T18:55:54-08:00","2025-02-17T18:55:54-08:00","01272035","2025-02-07",USD,United States Dollar,
False,"0",QBO,False,"37288","0","2025-02-17T18:56:29-08:00","2025-02-17T18:56:29-08:00","01272036","2025-02-08",USD,United States Dollar,
False,"0",QBO,False,"37289","0","2025-02-17T18:56:47-08:00","2025-02-17T18:56:47-08:00","01272037","2025-02-10",USD,United States Dollar,
False,"0",QBO,False,"37290","0","2025-02-17T18:57:06-08:00","2025-02-17T18:57:06-08:00","01272038","2025-02-11",USD,United States Dollar,
False,"0",QBO,False,"37291","1","2025-02-17T18:57:23-08:00","2025-02-17T19:00:28-08:00","01272039","2025-02-12",USD,United States Dollar,
False,"0",QBO,False,"37292","1","2025-02-17T18:57:36-08:00","2025-02-17T18:57:45-08:00","01272040","2025-02-13",USD,United States Dollar,
False,"0",QBO,False,"37293","1","2025-02-17T18:58:40-08:00","2025-02-17T19:01:19-08:00","01272041","2025-02-14",USD,United States Dollar,
False,"0",QBO,False,"37294","0","2025-02-17T18:59:02-08:00","2025-02-17T18:59:02-08:00","01272042","2025-02-15",USD,United States Dollar,
False,"0",QBO,False,"37303","2","2025-02-18T11:38:47-08:00","2025-02-18T11:39:29-08:00","02142025","2025-02-14",USD,United States Dollar,
False,"0",QBO,False,"37304","0","2025-02-18T11:40:12-08:00","2025-02-18T11:40:12-08:00","02142026","2025-02-13",USD,United States Dollar,
False,"0",QBO,False,"37305","0","2025-02-18T11:41:41-08:00","2025-02-18T11:41:41-08:00","02112025","2025-02-11",USD,United States Dollar,
False,"0",QBO,False,"37308","0","2025-02-18T11:45:26-08:00","2025-02-18T11:45:26-08:00","02102025","2025-02-10",USD,United States Dollar,
False,"0",QBO,False,"37310","0","2025-02-18T11:46:16-08:00","2025-02-18T11:46:16-08:00","02072025","2025-02-07",USD,United States Dollar,
False,"0",QBO,False,"37312","0","2025-02-18T11:46:56-08:00","2025-02-18T11:46:56-08:00","02072026","2025-02-07",USD,United States Dollar,
False,"0",QBO,False,"37313","0","2025-02-18T11:47:39-08:00","2025-02-18T11:47:39-08:00","02072027","2025-02-07",USD,United States Dollar,
False,"0",QBO,False,"37314","0","2025-02-18T11:48:44-08:00","2025-02-18T11:48:44-08:00","02042025","2025-02-04",USD,United States Dollar,
False,"0",QBO,False,"37315","0","2025-02-18T11:49:32-08:00","2025-02-18T11:49:32-08:00","02032025","2025-02-03",USD,United States Dollar,
False,"0",QBO,False,"37316","1","2025-02-18T11:53:21-08:00","2025-02-18T11:55:25-08:00","02122025","2025-02-12",USD,United States Dollar,
False,"0",QBO,False,"37317","1","2025-02-18T11:56:13-08:00","2025-02-18T11:56:22-08:00",,"2025-02-11",USD,United States Dollar,
False,"0",QBO,False,"37319","0","2025-02-18T11:57:45-08:00","2025-02-18T11:57:45-08:00","02102025","2025-02-10",USD,United States Dollar,
False,"0",QBO,False,"37320","0","2025-02-18T11:58:46-08:00","2025-02-18T11:58:46-08:00","02072025","2025-02-07",USD,United States Dollar,
False,"0",QBO,False,"37324","0","2025-02-18T12:08:41-08:00","2025-02-18T12:08:41-08:00","02062025","2025-02-06",USD,United States Dollar,
False,"0",QBO,False,"37325","0","2025-02-18T12:11:38-08:00","2025-02-18T12:11:38-08:00","02052025","2025-02-05",USD,United States Dollar,
False,"0",QBO,False,"37326","0","2025-02-18T12:12:35-08:00","2025-02-18T12:12:35-08:00","02042025","2025-02-04",USD,United States Dollar,
False,"0",QBO,False,"37327","0","2025-02-18T12:14:04-08:00","2025-02-18T12:14:04-08:00","02032025","2025-02-03",USD,United States Dollar,
False,"0",QBO,False,"37337","1","2025-02-18T12:43:43-08:00","2025-02-18T12:45:19-08:00","01312026","2025-02-13",USD,United States Dollar,
False,"0",QBO,False,"37339","0","2025-02-18T12:48:06-08:00","2025-02-18T12:48:06-08:00","02122025","2025-02-12",USD,United States Dollar,
False,"0",QBO,False,"37344","0","2025-02-18T13:04:57-08:00","2025-02-18T13:04:57-08:00","02142025","2025-02-14",USD,United States Dollar,
