"Id","Amount","DetailType","JournalEntryLineDetail.PostingType","JournalEntryLineDetail.AccountRef.value","JournalEntryLineDetail.AccountRef.name","Parent_Id","TxnDate","DocNumber","JournalEntryLineDetail.Entity.Type","JournalEntryLineDetail.Entity.EntityRef.value","JournalEntryLineDetail.Entity.EntityRef.name","JournalEntryLineDetail.ClassRef.value","JournalEntryLineDetail.ClassRef.name","JournalEntryLineDetail.DepartmentRef.value","JournalEntryLineDetail.DepartmentRef.name","Description","ProjectRef.value","Parent_Entity"
"0","237.57",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36448","2025-01-09","9E977",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"1","237.57",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36448","2025-01-09","9E977",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"0","94.15",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36447","2025-01-08","9E92E",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"1","94.15",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36447","2025-01-08","9E92E",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"0","13.5",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36446","2025-01-07","9E92B",,,,"842112",RETAIL:HFT,"3",Retail,,,JournalEntry
"1","13.5",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36446","2025-01-07","9E92B",,,,"842112",RETAIL:HFT,"3",Retail,,,JournalEntry
"0","89.85",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36445","2025-01-06","9E861",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"1","89.85",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36445","2025-01-06","9E861",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"0","161.51",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36444","2025-01-04","9E85E",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"1","161.51",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36444","2025-01-04","9E85E",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"0","36.0",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36443","2025-01-03","9E859",,,,"842112",RETAIL:HFT,"3",Retail,,,JournalEntry
"1","36.0",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36443","2025-01-03","9E859",,,,"842112",RETAIL:HFT,"3",Retail,,,JournalEntry
"2","237.06",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36443","2025-01-03","9E859",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"3","237.06",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36443","2025-01-03","9E859",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"0","12.5",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36442","2025-01-02","9E854",,,,"842112",RETAIL:HFT,"3",Retail,,,JournalEntry
"1","12.5",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36442","2025-01-02","9E854",,,,"842112",RETAIL:HFT,"3",Retail,,,JournalEntry
"2","701.2",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36442","2025-01-02","9E854",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"3","701.2",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36442","2025-01-02","9E854",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"0","60.96",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36456","2025-01-18","9EB69",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"1","60.96",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36456","2025-01-18","9EB69",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"0","14.32",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36455","2025-01-17","9EB64",,,,"842112",RETAIL:HFT,"3",Retail,,,JournalEntry
"1","14.32",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36455","2025-01-17","9EB64",,,,"842112",RETAIL:HFT,"3",Retail,,,JournalEntry
"2","197.55",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36455","2025-01-17","9EB64",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"3","197.55",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36455","2025-01-17","9EB64",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"0","67.0",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36454","2025-01-16","9EB5F",,,,"842112",RETAIL:HFT,"3",Retail,,,JournalEntry
"1","67.0",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36454","2025-01-16","9EB5F",,,,"842112",RETAIL:HFT,"3",Retail,,,JournalEntry
"2","24.0",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36454","2025-01-16","9EB5F",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"3","24.0",JournalEntryLineDetail,Credit,"208",Retail Inventory,"36454","2025-01-16","9EB5F",,,,"842113",RETAIL:KZI,"3",Retail,,,JournalEntry
"0","16.87",JournalEntryLineDetail,Debit,"149",Retail:Merchandise,"36453","2025-01-15","9EB5C",,,,"842112",RETAIL:HFT,"3",Retail,,,JournalEntry
