"AccountRef.value","AccountRef.name","PaymentType","EntityRef.value","EntityRef.name","EntityRef.type","Credit","TotalAmt","PurchaseEx.any[0].name","PurchaseEx.any[0].declaredType","PurchaseEx.any[0].scope","PurchaseEx.any[0].value.Name","PurchaseEx.any[0].value.Value","PurchaseEx.any[0].nil","PurchaseEx.any[0].globalScope","PurchaseEx.any[0].typeSubstituted","domain","sparse","Id","SyncToken","MetaData.CreateTime","MetaData.LastUpdatedTime","DocNumber","TxnDate","DepartmentRef.value","DepartmentRef.name","CurrencyRef.value","CurrencyRef.name","PrivateNote","RemitToAddr.Id","RemitToAddr.Line1","PrintStatus","RemitToAddr.City","RemitToAddr.CountrySubDivisionCode","RemitToAddr.PostalCode","RemitToAddr.Line2","RemitToAddr.Line3","RemitToAddr.Line4","PaymentMethodRef.value","RemitToAddr.Line5","RecurDataRef.value","status","RemitToAddr.Country"
"125",HFT Operating Account,Check,"351",Bank of Hawaii Bank Acct.,Vendor,,"1869.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"32116","3","2024-12-20T15:40:58-08:00","2025-04-28T13:21:01-07:00",,"2025-01-22","1",Hawaii Forest & Trail,USD,United States Dollar,,"156",,NotSet,Bank of,HI,,,,,,,,,
"33",HI AIR HFT,CreditCard,"310",Adobe Creative Cloud,Vendor,False,"186.34",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"32285","3","2025-01-01T02:38:44-08:00","2025-04-10T15:55:52-07:00",,"2025-01-01","1",Hawaii Forest & Trail,USD,United States Dollar,,,,,,,,,,,,,,,
"33",HI AIR HFT,CreditCard,"583",Mailchimp,Vendor,False,"229.32",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"32284","0","2025-01-01T02:38:44-08:00","2025-01-01T02:38:44-08:00",,"2025-01-01","1",Hawaii Forest & Trail,USD,United States Dollar,,,,,,,,,,,,,,,
"33",HI AIR HFT,CreditCard,"754",Yelp,Vendor,False,"70.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"32287","3","2025-01-01T02:38:45-08:00","2025-04-10T15:55:48-07:00",,"2025-01-01","1",Hawaii Forest & Trail,USD,United States Dollar,,,,,,,,,,,,,,,
"33",HI AIR HFT,CreditCard,"583",Mailchimp,Vendor,False,"229.32",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"34961","3","2025-02-01T02:30:16-08:00","2025-02-07T17:43:02-08:00",,"2025-02-01","1",Hawaii Forest & Trail,USD,United States Dollar,,,,,,,,,,,,,,,
"33",HI AIR HFT,CreditCard,"754",Yelp,Vendor,False,"75.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"34959","3","2025-02-01T02:30:16-08:00","2025-03-28T15:05:47-07:00",,"2025-02-01","1",Hawaii Forest & Trail,USD,United States Dollar,,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"615",New York Times,Vendor,False,"24.04",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"34966","4","2025-02-01T02:30:17-08:00","2025-05-14T15:43:56-07:00",,"2025-02-01","1",Hawaii Forest & Trail,USD,United States Dollar,,,,,,,,,,,,,,,
"42",HFT Capital One,CreditCard,"1172",Credit Card Vendor,Vendor,False,"9.06",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"34991","0","2025-02-03T14:00:30-08:00","2025-02-03T14:00:30-08:00",,"2025-01-30","1",Hawaii Forest & Trail,USD,United States Dollar,SQ *KOHALA GROWN MARKE - 4133- Jono & Jason,,,,,,,,,,,,,,
"42",HFT Capital One,CreditCard,"582",Magpie Travel,Vendor,False,"69.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"34992","2","2025-02-03T14:06:13-08:00","2025-02-07T17:40:04-08:00",,"2025-02-01","1",Hawaii Forest & Trail,USD,United States Dollar,MAGPIE TRAVEL - 9971,,,,,,,,,,,,,,
"125",HFT Operating Account,Check,"402",Costco,Vendor,,"556.03",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35090","1","2025-02-04T12:25:23-08:00","2025-02-04T12:28:45-08:00","21775","2025-01-30","1",Hawaii Forest & Trail,USD,United States Dollar,"Chips, water","176","73-5600 Maiau Street",NotSet,Kailua-Kona,HI,"96740",,,,,,,,
"125",HFT Operating Account,Check,"402",Costco,Vendor,,"1048.95",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35091","2","2025-02-04T12:27:43-08:00","2025-02-04T12:30:22-08:00","21773","2025-01-30","1",Hawaii Forest & Trail,USD,United States Dollar,"bars, water tea","176","73-5600 Maiau Street",NotSet,Kailua-Kona,HI,"96740",,,,,,,,
"37",Citi Card COSTCO,CreditCard,"402",Costco,Vendor,False,"30.1",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35214","0","2025-02-04T12:53:58-08:00","2025-02-04T12:53:58-08:00",,"2025-01-30","1",Hawaii Forest & Trail,USD,United States Dollar,COSTCO GAS #0140 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"402",Costco,Vendor,False,"70.35",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35215","0","2025-02-04T12:54:21-08:00","2025-02-04T12:54:21-08:00",,"2025-01-30","1",Hawaii Forest & Trail,USD,United States Dollar,COSTCO GAS #0140 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"1172",Credit Card Vendor,Vendor,False,"23.22",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35432","0","2025-02-04T13:05:35-08:00","2025-02-04T13:05:35-08:00",,"2025-01-29","1",Hawaii Forest & Trail,USD,United States Dollar,ISLAND NATURALS KONA KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"402",Costco,Vendor,False,"19.4",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35433","0","2025-02-04T13:07:31-08:00","2025-02-04T13:07:31-08:00",,"2025-01-29","1",Hawaii Forest & Trail,USD,United States Dollar,COSTCO GAS #0140 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"402",Costco,Vendor,False,"80.82",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35434","0","2025-02-04T13:08:08-08:00","2025-02-04T13:08:08-08:00",,"2025-01-25","1",Hawaii Forest & Trail,USD,United States Dollar,COSTCO GAS #0140 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"402",Costco,Vendor,False,"21.85",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35435","0","2025-02-04T13:09:26-08:00","2025-02-04T13:09:26-08:00",,"2025-01-23","1",Hawaii Forest & Trail,USD,United States Dollar,COSTCO GAS #0140 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"402",Costco,Vendor,False,"80.02",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35436","0","2025-02-04T13:10:20-08:00","2025-02-04T13:10:20-08:00",,"2025-01-23","1",Hawaii Forest & Trail,USD,United States Dollar,COSTCO GAS #0140 KAILUA KONA HI,,,,,,,,,,,,,,
