"Id","Description","Amount","DetailType","AccountBasedExpenseLineDetail.ClassRef.value","AccountBasedExpenseLineDetail.ClassRef.name","AccountBasedExpenseLineDetail.AccountRef.value","AccountBasedExpenseLineDetail.AccountRef.name","AccountBasedExpenseLineDetail.BillableStatus","AccountBasedExpenseLineDetail.TaxCodeRef.value","Parent_Id","TxnDate","DocNumber","AccountBasedExpenseLineDetail.CustomerRef.value","AccountBasedExpenseLineDetail.CustomerRef.name","LinkedTxn[0].TxnId","LinkedTxn[0].TxnType","ProjectRef.value","AccountBasedExpenseLineDetail.MarkupInfo.Percent","Parent_Entity"
"1",,"1362.4",AccountBasedExpenseLineDetail,"842100",HFTCO,"1150040001",MB SP New Loan 2-201C,NotBillable,NON,"32116","2025-01-22",,,,,,,,Purchase
"2",,"506.6",AccountBasedExpenseLineDetail,"842100",HFTCO,"78",Interest Expense,NotBillable,NON,"32116","2025-01-22",,,,,,,,Purchase
"1",Adobe,"93.17",AccountBasedExpenseLineDetail,"842100",HFTCO,"110",Cost of Sales,NotBillable,NON,"32285","2025-01-01",,,,,,,,Purchase
"2",Adobe,"93.17",AccountBasedExpenseLineDetail,"842100",HFTCO,"110",Cost of Sales,HasBeenBilled,NON,"32285","2025-01-01",,"63",Kohala Zipline LLC,"32286",ReimburseCharge,,"0.0",Purchase
"1","114.66","114.66",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,NotBillable,NON,"32284","2025-01-01",,"63",Kohala Zipline LLC,,,,,Purchase
"2","114.66","114.66",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,NotBillable,NON,"32284","2025-01-01",,,,,,,,Purchase
"1",Yelp,"70.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,HasBeenBilled,NON,"32287","2025-01-01",,"63",Kohala Zipline LLC,"32288",ReimburseCharge,,,Purchase
"1","114.66","114.66",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,NotBillable,NON,"34961","2025-02-01",,"63",Kohala Zipline LLC,,,,,Purchase
"2","114.66","114.66",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,NotBillable,NON,"34961","2025-02-01",,,,,,,,Purchase
"1","75","75.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,NotBillable,NON,"34959","2025-02-01",,,,,,,,Purchase
"1","24.04","24.04",AccountBasedExpenseLineDetail,"842100",HFTCO,"114",Dues & Subscriptions,NotBillable,NON,"34966","2025-02-01",,,,,,,,Purchase
"1",SQ *KOHALA GROWN MARKE - 4133- Jono & Jason,"9.06",AccountBasedExpenseLineDetail,"842100",HFTCO,"112",Meals & Entertainment,NotBillable,NON,"34991","2025-01-30",,,,,,,,Purchase
"1",MAGPIE TRAVEL - 9971,"69.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,NotBillable,NON,"34992","2025-02-01",,,,,,,,Purchase
"1",,"556.03",AccountBasedExpenseLineDetail,"842100",HFTCO,"151",Catering,NotBillable,NON,"35090","2025-01-30","21775",,,,,,,Purchase
"1",,"963.12",AccountBasedExpenseLineDetail,"842100",HFTCO,"151",Catering,NotBillable,NON,"35091","2025-01-30","21773",,,,,,,Purchase
"3","TP, trash bags","85.83",AccountBasedExpenseLineDetail,"842100",HFTCO,"101",General,NotBillable,NON,"35091","2025-01-30","21773",,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"30.1",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35214","2025-01-30",,,,,,,,Purchase
