"Id","LineNum","Description","Amount","DetailType","SalesItemLineDetail.ItemRef.value","SalesItemLineDetail.ItemRef.name","SalesItemLineDetail.ClassRef.value","SalesItemLineDetail.ClassRef.name","SalesItemLineDetail.UnitPrice","SalesItemLineDetail.Qty","SalesItemLineDetail.ItemAccountRef.value","SalesItemLineDetail.ItemAccountRef.name","SalesItemLineDetail.TaxCodeRef.value","Parent_Id","TxnDate","DocNumber","SalesItemLineDetail.TaxClassificationRef.value","Parent_Entity"
"19","1.0",,"8.99",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"8.99","1.0","77","5000-12 Retail Store Revenue",TAX,"40585","2025-04-24",#5674,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"10.99",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"10.99","1.0","77","5000-12 Retail Store Revenue",TAX,"40585","2025-04-24",#5674,EUC-99990101-V1-00020000,SalesReceipt
,,,"19.98",SubTotalLineDetail,,,,,,,,,,"40585","2025-04-24",#5674,,SalesReceipt
"11","1.0",,"89.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"89.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40584","2025-04-24",#5673,EUC-99990101-V1-00020000,SalesReceipt
,,,"89.0",SubTotalLineDetail,,,,,,,,,,"40584","2025-04-24",#5673,,SalesReceipt
"19","1.0",,"28.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"28.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40583","2025-04-23",#5672,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"28.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"28.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40583","2025-04-23",#5672,EUC-99990101-V1-00020000,SalesReceipt
,,,"56.0",SubTotalLineDetail,,,,,,,,,,"40583","2025-04-23",#5672,,SalesReceipt
"11","1.0",,"9.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"9.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40590","2025-04-23",#5670,EUC-99990101-V1-00020000,SalesReceipt
,,,"9.0",SubTotalLineDetail,,,,,,,,,,"40590","2025-04-23",#5670,,SalesReceipt
"11","1.0",,"18.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"18.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40589","2025-04-23",#5669,EUC-99990101-V1-00020000,SalesReceipt
,,,"18.0",SubTotalLineDetail,,,,,,,,,,"40589","2025-04-23",#5669,,SalesReceipt
"11","1.0",,"4.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"4.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40588","2025-04-23",#5668,EUC-99990101-V1-00020000,SalesReceipt
,,,"4.0",SubTotalLineDetail,,,,,,,,,,"40588","2025-04-23",#5668,,SalesReceipt
"11","1.0",,"9.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"9.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40587","2025-04-23",#5667,EUC-99990101-V1-00020000,SalesReceipt
,,,"9.0",SubTotalLineDetail,,,,,,,,,,"40587","2025-04-23",#5667,,SalesReceipt
"19","1.0",,"12.6",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"12.6","1.0","77","5000-12 Retail Store Revenue",TAX,"40586","2025-04-23",#5666,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"28.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"28.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40586","2025-04-23",#5666,EUC-99990101-V1-00020000,SalesReceipt
,,,"40.6",SubTotalLineDetail,,,,,,,,,,"40586","2025-04-23",#5666,,SalesReceipt
"35","1.0",,"60.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"60.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40592","2025-04-22",#5661,EUC-99990101-V1-00020000,SalesReceipt
"36","2.0",,"10.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"10.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40592","2025-04-22",#5661,EUC-99990101-V1-00020000,SalesReceipt
"37","3.0",,"8.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"8.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40592","2025-04-22",#5661,EUC-99990101-V1-00020000,SalesReceipt
"38","4.0",,"30.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"30.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40592","2025-04-22",#5661,EUC-99990101-V1-00020000,SalesReceipt
