OldName,NewName,status,details,phase,customer_id
Rita s of Charlotte Hall,Rita's of Charlotte Hall,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
The Pachi s Transportation Services LLC,The Pachi's Transportation Services LLC,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Everyone s Market 2,Everyone's Market 2,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Everyone s Market 8,Everyone's Market 8,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
OLE s GUACAMOLES - BLACK MOUNTAIN,OLE'S GUACAMOLES - BLACK MOUNTAIN,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Everyone s Market 3,Everyone's Market 3,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Don Rafa s Super Mercado NCA,Don Rafa's Super Mercado NCA,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Lucky s Market - 36861,Lucky's Market - 36861,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Bucky s The Closet,Bucky's The Closet,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Billy s Coney Island,Billy's Coney Island,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Freddy s Kitchen Mobile,Freddy's Kitchen Mobile,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Jerry s Garage,Jerry's Garage,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
J'Adore Body,J'Adore Body,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Katie s Country Kitchen,Katie's Country Kitchen,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
ANGIE s SALON,ANGIE'S SALON,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Whitt s Tire Town,Whitt's Tire Town,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Griffith s Wawasee Marina,Griffith's Wawasee Marina,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Bebo s Tint,Bebo's Tint,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Domalena s Hair and Nail Lounge,Domalena's Hair and Nail Lounge,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
WHITMORE s TOWING AND FLEET SERVICE - IC,WHITMORE'S TOWING AND FLEET SERVICE - IC,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Mickey s Welding & Machinery Service LLC,Mickey's Welding & Machinery Service LLC,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Mary s Guarderia Y Preescolar LLC,Mary's Guarderia Y Preescolar LLC,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
PIZZITOLA s BAR B CUE,PIZZITOLA'S BAR B CUE,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
VALE s AUTO REPAIR AND TOWING INC,VALE'S AUTO REPAIR AND TOWING INC,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
DT s DAYLIGHT DONUTS,DT'S DAYLIGHT DONUTS,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Corey s Bootery,Corey's Bootery,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
GONNELLA s COUNTRY MARKET,GONNELLA'S COUNTRY MARKET,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Michelle s Greenhouses,Michelle's Greenhouses,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
ANU s FABRIC,ANU'S FABRIC,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Jimmy s,Jimmy's,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
OLE s GUACAMOLES - ASHEVILLE,OLE'S GUACAMOLES - ASHEVILLE,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Cilantro s Mexican Grill,Cilantro's Mexican Grill,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Mangieri s Pizza Cafe,Mangieri's Pizza Cafe,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Everyone s Market 4,Everyone's Market 4,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Terry s Grocery,Terry's Grocery,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
A s Tree Service Inc,A's Tree Service Inc,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Nick s Tree Care Inc,Nick's Tree Care Inc,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Nelson s Auto Service,Nelson's Auto Service,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Cordero s Custom Boots & Shoe Repair,Cordero's Custom Boots & Shoe Repair,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Tallent s Body Shop,Tallent's Body Shop,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Yazzy s Market Mill St Troy,Yazzy's Market Mill St Troy,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Yazzy s Market Mill St Troy - 53155,Yazzy's Market Mill St Troy - 53155,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Lizethe s Hair Creations,Lizethe's Hair Creations,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Pete s Hunter Auto Repair Inc,Pete's Hunter Auto Repair Inc,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Everyone s Market,Everyone's Market,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Maria s Mexican Tacos,Maria's Mexican Tacos,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
CHACHA s DHABA,CHACHA'S DHABA,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Ted s Auto,Ted's Auto,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Snapka s Drive Inn Weber,Snapka's Drive Inn Weber,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
