OldName,NewName,status,details,phase,customer_id
Rita s of Charlotte Hall,Rita's of Charlotte Hall,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,873
The Pachi s Transportation Services LLC,The Pachi's Transportation Services LLC,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,1070
Everyone s Market 2,Everyone's Market 2,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,1430
Everyone s Market 8,Everyone's Market 8,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,1434
OLE s GUACAMOLES - BLACK MOUNTAIN,OLE'S GUACAMOLES - BLACK MOUNTAIN,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,1525
Everyone s Market 3,Everyone's Market 3,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,1820
Don Rafa s Super Mercado NCA,Don Rafa's Super Mercado NCA,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,9147
Lucky s Market - 36861,Lucky's Market - 36861,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,9354
Bucky s The Closet,Bucky's The Closet,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,9431
Billy s Coney Island,Billy's Coney Island,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,9608
Freddy s Kitchen Mobile,Freddy's Kitchen Mobile,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,9612
Jerry s Garage,Jerry's Garage,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,9722
J'Adore Body,J'Adore Body,SKIP_ALREADY_SET,Old and New resolve to the same customer.,A,9767
Katie s Country Kitchen,Katie's Country Kitchen,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,10150
ANGIE s SALON,ANGIE'S SALON,SKIP_NEWINAME_PRESENT,NewName already exists in QBO (matches=1).,A,2064
